n,k,rsr,rsrpp
2048,1,27,28
2048,2,14,14
2048,3,9,10
2048,4,8,7
2048,5,8,6
2048,6,14,6
2048,7,37,6
2048,8,119,8
2048,9,422,10
2048,10,1513,17
2048,11,5587,27
2048,12,20355,46
4096,1,116,114
4096,2,58,57
4096,3,38,38
4096,4,29,28
4096,5,29,24
4096,6,38,21
4096,7,83,21
4096,8,247,23
4096,9,850,28
4096,10,3021,39
4096,11,11128,62
4096,12,40732,103
8192,1,464,456
8192,2,231,229
8192,3,156,154
8192,4,120,116
8192,5,105,95
8192,6,117,82
8192,7,199,75
8192,8,518,74
8192,9,1727,82
8192,10,6089,102
8192,11,22261,145
8192,12,81397,226
16384,1,1845,1812
16384,2,927,906
16384,3,624,613
16384,4,478,465
16384,5,401,377
16384,6,393,322
16384,7,535,286
16384,8,1149,267
16384,9,3560,270
16384,10,12244,298
16384,11,44586,374
16384,12,162804,531
32768,1,7354,7219
32768,2,3689,3623
32768,3,2487,2443
32768,4,1894,1853
32768,5,1556,1500
32768,6,1417,1265
32768,7,1610,1104
32768,8,2775,1000
32768,9,7547,953
32768,10,24882,967
32768,11,89426,1085
32768,12,325912,1368
65536,1,29424,28826
65536,2,14711,14441
65536,3,9913,9750
65536,4,7539,7401
65536,5,6133,5986
65536,6,5370,5038
65536,7,5401,4376
65536,8,7478,3906
65536,9,16782,3605
65536,10,51209,3466
65536,11,179960,3557
65536,12,652882,4012
